SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000134,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.5,9,6.75,,,,6,9,2022
02000135,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,8.5,7,,,,8.6,8.5,2022
02000136,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.25,9.25,8,,,,8.8,8.25,2022
02000137,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,7.5,7.75,,,,6.6,8.75,2022
02000138,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,8.75,6.25,4.25,8.4,,2022
02000139,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,9,8.5,,,,8,10,2022
02000140,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6,,,8.25,4.5,4.25,8.8,,2022
02000141,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,6.5,8.25,5,8.2,,2022
02000142,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,4.75,,,7.25,6.5,3.75,7.6,,2022
02000143,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,7.5,5.5,5,8.6,,2022
02000144,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,7.25,5.75,5.25,8.6,,2022
02000145,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,4.5,,,3,2.5,3.5,4.6,,2022
02000146,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.75,5,4.25,7.8,,2022
02000147,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.25,,,7.5,8.25,5.75,6.6,,2022
02000148,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7,6.5,7,,,,8.8,7.75,2022
02000149,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,8,6.5,4.75,8.8,,2022
02000150,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,4.75,5.5,,,,8,9.75,2022
02000151,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6,,,8.5,6.25,3.5,7.6,,2022
02000152,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.25,8.25,5.75,7,,2022
02000153,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,,,8.75,7.75,4.25,8.2,,2022
02000154,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.75,,,8,9,7.75,9,,2022
